hip,ra,dec,mag,bv,name,designation
32349,101.2872,-16.7161,-1.44,0.01,Sirius,Alpha CMa
30438,95.988,-52.6957,-0.62,0.16,Canopus,Alpha Car
69673,213.9153,19.1824,-0.05,1.24,Arcturus,Alpha Boo
71683,219.9021,-60.834,-0.01,0.71,Rigil Kentaurus,α1 Cen
91262,279.2347,38.7837,0.03,-0.0,Vega,Alpha Lyr
24608,79.1723,45.998,0.08,0.8,Capella,Alpha Aur
24436,78.6345,-8.2016,0.18,-0.03,Rigel,Beta Ori
37279,114.8255,5.225,0.4,0.43,Procyon,Alpha CMi
7588,24.4285,-57.2368,0.45,-0.16,Achernar,Alpha Eri
27989,88.7929,7.4071,0.45,1.5,Betelgeuse,Alpha Ori
68702,210.9559,-60.373,0.61,-0.23,Hadar,Beta Cen
97649,297.6958,8.8683,0.76,0.22,Altair,Alpha Aql
60718,186.6496,-63.0991,0.77,-0.24,Acrux,α1 Cru
21421,68.9802,16.5093,0.87,1.54,Aldebaran,Alpha Tau
65474,201.2982,-11.1613,0.98,-0.23,Spica,Alpha Vir
80763,247.3519,-26.432,1.06,1.86,Antares,Alpha Sco
37826,116.329,28.0262,1.16,0.99,Pollux,Beta Gem
113368,344.4127,-29.6222,1.17,0.14,Fomalhaut,Alpha PsA
62434,191.9303,-59.6888,1.25,-0.24,Mimosa,Beta Cru
102098,310.358,45.2803,1.25,0.09,Deneb,Alpha Cyg
71681,219.8962,-60.8372,1.35,0.9,Toliman,α2 Cen
49669,152.093,11.9672,1.36,-0.09,Regulus,Alpha Leo
33579,104.6565,-28.9721,1.5,-0.21,Adhara,Epsilon CMa
36850,113.6494,31.8883,1.58,0.03,Castor,Alpha Gem
61084,187.7915,-57.1132,1.59,1.6,Gacrux,Gamma Cru
85927,263.4022,-37.1038,1.62,-0.23,Shaula,Lambda Sco
25336,81.2828,6.3497,1.64,-0.22,Bellatrix,Gamma Ori
25428,81.573,28.6075,1.65,-0.13,Elnath,Beta Tau
45238,138.2999,-69.7172,1.67,0.07,Miaplacidus,Beta Car
26311,84.0534,-1.2019,1.69,-0.18,Alnilam,Epsilon Ori
109268,332.0583,-46.961,1.73,-0.07,Alnair,Alpha Gru
26727,85.1897,-1.9426,1.74,-0.2,Alnitak,Zeta Ori
39953,122.3831,-47.3366,1.75,-0.14,Regor,γ2 Vel
62956,193.5073,55.9598,1.76,-0.02,Alioth,Epsilon UMa
15863,51.0807,49.8612,1.79,0.48,Mirfak,Alpha Per
90185,276.043,-34.3846,1.79,-0.03,Kaus Australis,Epsilon Sgr
54061,165.932,61.751,1.81,1.06,Dubhe,Alpha UMa
34444,107.0979,-26.3932,1.83,0.67,Wezen,Delta CMa
67301,206.8852,49.3133,1.85,-0.1,Alkaid,Eta UMa
41037,125.6285,-59.5095,1.86,1.2,Avior,Epsilon Car
86228,264.3297,-42.9978,1.86,0.41,Sargas,Theta Sco
28360,89.8822,44.9474,1.9,0.08,Menkalinan,Beta Aur
82273,252.1662,-69.0277,1.91,1.45,Atria,Alpha TrA
31681,99.4279,16.3993,1.93,0.0,Alhena,Gamma Gem
42913,131.1759,-54.7088,1.93,0.04,Alsephina,Delta Vel
100751,306.4119,-56.7351,1.94,-0.12,Peacock,Alpha Pav
11767,37.9545,89.2641,1.97,0.64,Polaris,Alpha UMi
30324,95.6749,-17.9559,1.98,-0.24,Mirzam,Beta CMa
46390,141.8968,-8.6586,1.99,1.44,Alphard,Alpha Hya
9884,31.7934,23.4624,2.01,1.15,Hamal,Alpha Ari
50583,154.9931,19.8415,2.01,1.13,Algieba,γ1 Leo
3419,10.8974,-17.9866,2.04,1.02,Diphda,Beta Cet
92855,283.8164,-26.2967,2.05,-0.13,Nunki,Sigma Sgr
68933,211.6706,-36.37,2.06,1.01,Menkent,Theta Cen
677,2.0969,29.0904,2.07,-0.04,Alpheratz,Alpha And
5447,17.433,35.6206,2.07,1.58,Mirach,Beta And
27366,86.9391,-9.6696,2.07,-0.17,Saiph,Kappa Ori
72607,222.6764,74.1555,2.07,1.47,Kochab,Beta UMi
112122,340.6669,-46.8846,2.07,1.61,Tiaki,Beta Gru
86032,263.7336,12.56,2.08,0.15,Rasalhague,Alpha Oph
14576,47.0422,40.9556,2.09,-0.0,Algol,Beta Per
9640,30.9748,42.3297,2.1,1.37,Almach,γ1 And
57632,177.2649,14.5721,2.14,0.09,Denebola,Beta Leo
4427,14.1772,60.7167,2.15,-0.05,Navi,Gamma Cas
61932,190.3793,-48.9599,2.2,-0.02,Muhlifain,Gamma Cen
39429,120.896,-40.0031,2.21,-0.27,Naos,Zeta Pup
45556,139.2725,-59.2752,2.21,0.19,Aspidiske,Iota Car
76267,233.672,26.7147,2.22,0.03,Alphecca,Alpha CrB
44816,136.999,-43.4326,2.23,1.67,Suhail,Lambda Vel
65378,200.9814,54.9254,2.23,0.06,Mizar,Zeta UMa
100453,305.5571,40.2567,2.23,0.67,Sadr,Gamma Cyg
3179,10.1268,56.5373,2.24,1.17,Shedar,Alpha Cas
87833,269.1515,51.4889,2.24,1.52,Eltanin,Gamma Dra
25930,83.0017,-0.2991,2.25,-0.17,Mintaka,Delta Ori
746,2.2945,59.1498,2.28,0.38,Caph,Beta Cas
66657,204.9719,-53.4664,2.29,-0.17,,Epsilon Cen
78401,240.0834,-22.6217,2.29,-0.12,Dschubba,Delta Sco
82396,252.5409,-34.2932,2.29,1.14,Larawag,Epsilon Sco
71860,220.4823,-47.3882,2.3,-0.15,Men,Alpha Lup
71352,218.8768,-42.1578,2.33,-0.16,,Eta Cen
53910,165.4603,56.3824,2.34,0.03,Merak,Beta UMa
72105,221.2467,27.0742,2.35,0.97,Izar,Epsilon Boo
107315,326.0465,9.875,2.38,1.52,Enif,Epsilon Peg
86670,265.622,-39.03,2.39,-0.17,Mula,Kappa Sco
2081,6.571,-42.306,2.4,1.08,Ankaa,Alpha Phe
58001,178.4577,53.6948,2.41,0.04,Phecda,Gamma UMa
84012,257.5945,-15.7249,2.43,0.06,Sabik,Eta Oph
113881,345.9436,28.0828,2.44,1.66,Scheat,Beta Peg
35904,111.0238,-29.3031,2.45,-0.08,Aludra,Eta CMa
105199,319.6449,62.5856,2.45,0.26,Alderamin,Alpha Cep
45941,140.5284,-55.0107,2.47,-0.14,Markeb,Kappa Vel
102488,311.5528,33.9703,2.48,1.02,Aljanah,Epsilon Cyg
113963,346.1902,15.2053,2.49,-0.0,Markab,Alpha Peg
14135,45.5699,4.0897,2.54,1.63,Menkar,Alpha Cet
81377,249.2897,-10.5671,2.54,0.04,Saik,Zeta Oph
68002,208.8849,-47.2884,2.55,-0.18,Alnair,Zeta Cen
54872,168.5271,20.5237,2.56,0.13,Zosma,Delta Leo
78820,241.3593,-19.8055,2.56,-0.07,Acrab,β1 Sco
25985,83.1826,-17.8223,2.58,0.21,Arneb,Alpha Lep
59196,182.0896,-50.7224,2.58,-0.13,,Delta Cen
59803,183.9515,-17.5419,2.58,-0.11,Gienah,Gamma Crv
93506,285.653,-29.8801,2.6,0.06,Ascella,Zeta Sgr
74785,229.2517,-9.3829,2.61,-0.07,Zubeneschamali,Beta Lib
77070,236.067,6.4256,2.63,1.17,Unukalhai,Alpha Ser
8903,28.66,20.808,2.64,0.17,Sheratan,Beta Ari
26634,84.9122,-34.0741,2.65,-0.12,Phact,Alpha Col
28380,89.9303,37.2126,2.65,-0.08,Mahasim,Theta Aur
61359,188.5968,-23.3968,2.65,0.89,Kraz,Beta Crv
6686,21.454,60.2353,2.66,0.16,Ruchbah,Delta Cas
67927,208.6712,18.3977,2.68,0.58,Muphrid,Eta Boo
73273,224.633,-43.134,2.68,-0.18,KeKouan,Beta Lup
23015,74.2484,33.1661,2.69,1.49,Hassaleh,Iota Aur
52727,161.6924,-49.4203,2.69,0.9,,Mu Vel
61585,189.2959,-69.1356,2.69,-0.18,,Alpha Mus
85696,262.691,-37.2958,2.7,-0.18,Lesath,Upsilon Sco
35264,109.2857,-37.0975,2.71,1.62,,Pi Pup
89931,275.2485,-29.8281,2.72,1.38,Kaus Media,Delta Sgr
97278,296.5649,10.6133,2.72,1.51,Tarazed,Gamma Aql
79593,243.5864,-3.6943,2.73,1.58,Yed Prior,Delta Oph
80331,245.9979,61.5142,2.73,0.91,Athebyne,Eta Dra
52419,160.7392,-64.3945,2.74,-0.22,,Theta Car
61941,190.4152,-1.4494,2.74,0.37,Porrima,Gamma Vir
26241,83.8583,-5.9099,2.75,-0.21,Hatysa,Iota Ori
65109,200.1492,-36.7123,2.75,0.07,,Iota Cen
72622,222.7196,-16.0418,2.75,0.15,Zubenelgenubi,α2 Lib
86742,265.8681,4.5673,2.76,1.17,Cebalrai,Beta Oph
23875,76.9624,-5.0864,2.78,0.16,Cursa,Beta Eri
80816,247.555,21.4896,2.78,0.95,Kornephoros,Beta Her
84345,258.6619,14.3903,2.78,1.16,Rasalgethi,α1 Her
59747,183.7863,-58.7489,2.79,-0.19,Imai,Delta Cru
85670,262.6082,52.3014,2.79,0.95,Rastaban,Beta Dra
76297,233.7852,-41.1668,2.8,-0.22,,Gamma Lup
25606,82.0613,-20.7594,2.81,0.81,Nihal,Beta Lep
81693,250.3215,31.6027,2.81,0.65,Rutilicus,Zeta Her
2021,6.4378,-77.2542,2.82,0.62,,Beta Hyi
81266,248.9706,-28.216,2.82,-0.21,Paikauhale,Tau Sco
90496,276.9927,-25.4217,2.82,1.02,Kaus Borealis,Lambda Sgr
1067,3.309,15.1836,2.83,-0.19,Algenib,Gamma Peg
39757,121.886,-24.3043,2.83,0.46,Tureis,Rho Pup
77952,238.7857,-63.4307,2.83,0.32,,Beta TrA
18246,58.533,31.8836,2.84,0.27,Atik,Zeta Per
85258,261.325,-55.5299,2.84,1.48,,Beta Ara
85792,262.9604,-49.8761,2.84,-0.14,Choo,Alpha Ara
17702,56.8712,24.1051,2.85,-0.09,Alcyone,Eta Tau
63608,195.5442,10.9592,2.85,0.93,Vindemiatrix,Epsilon Vir
107556,326.7602,-16.1273,2.85,0.18,Deneb Algedi,Delta Cap
9236,29.6925,-61.5699,2.86,0.29,,Alpha Hyi
97165,296.2437,45.1308,2.86,-0.0,Fawaris,Delta Cyg
30343,95.7401,22.5136,2.87,1.62,Tejat,Mu Gem
74946,229.7274,-68.6795,2.87,0.01,,Gamma TrA
110130,334.6254,-60.2596,2.87,1.39,,Alpha Tuc
13847,44.5653,-40.3047,2.88,0.13,Acamar,θ1 Eri
94141,287.441,-21.0236,2.88,0.38,Albaldah,Pi Sgr
36188,111.7877,8.2893,2.89,-0.1,Gomeisa,Beta CMi
63125,194.0069,38.3184,2.89,-0.12,Cor Caroli,α2 CVn
78265,239.713,-26.1141,2.89,-0.18,Fang,Pi Sco
18532,59.4635,40.0102,2.9,-0.2,,Epsilon Per
80112,245.2972,-25.5928,2.9,0.3,Alniyat,Sigma Sco
106278,322.8897,-5.5712,2.9,0.83,Sadalsuud,Beta Aqr
14328,46.1991,53.5064,2.91,0.72,,Gamma Per
48002,146.7755,-65.072,2.92,0.27,,Upsilon Car
112158,340.7506,30.2212,2.93,0.85,Matar,Eta Peg
32768,102.484,-50.6146,2.94,1.21,,Tau Pup
60965,187.4661,-16.5154,2.94,-0.01,Algorab,Delta Crv
109074,331.446,-0.3199,2.95,0.97,Sadalmelik,Alpha Aqr
18543,59.5074,-13.5085,2.97,1.59,Zaurak,Gamma Eri
26451,84.4112,21.1425,2.97,-0.15,Tianguan,Zeta Tau
47908,146.4628,23.7743,2.97,0.81,Algenubi,Epsilon Leo
88635,271.452,-30.4241,2.98,0.98,Alnasl,γ2 Sgr
64962,199.7304,-23.1715,2.99,0.92,,Gamma Hya
87073,266.8962,-40.127,2.99,0.51,Girtab,ι1 Sco
93747,286.3525,13.8635,2.99,0.01,Okab,Zeta Aql
10064,32.3859,34.9873,3.0,0.14,Mizan,Beta Tri
54539,167.4159,44.4985,3.0,1.14,,Psi UMa
75097,230.1821,71.834,3.0,0.06,Pherkad,Gamma UMi
82514,252.9676,-38.0474,3.0,-0.2,Xamidimura,μ1 Sco
108085,328.4822,-37.3649,3.0,-0.08,Aldhanab,Gamma Gru
17358,55.7313,47.7876,3.01,-0.12,,Delta Per
30122,95.0783,-30.0634,3.02,-0.16,Furud,Zeta CMa
33977,105.7561,-23.8333,3.02,-0.08,Al Zara,ο2 CMa
59316,182.5312,-22.6198,3.02,1.33,Minkar,Epsilon Crv
23416,75.4922,43.8233,3.03,0.54,Almaaz,Epsilon Aur
62322,191.57,-68.1081,3.04,-0.18,,Beta Mus
71075,218.0195,38.3083,3.04,0.19,Seginus,Gamma Boo
95947,292.6803,27.9597,3.05,1.09,Albireo,β1 Cyg
100345,305.2528,-14.7814,3.05,0.79,Dabih,Beta Cap
32246,100.983,25.1311,3.06,1.38,Mebsuta,Epsilon Gem
50801,155.5823,41.4995,3.06,1.6,Tania Australis,Mu UMa
94376,288.1388,67.6615,3.07,0.99,Altais,Delta Dra
89642,274.4068,-36.7617,3.1,1.58,Hamalwarid,Eta Sgr
43813,133.8484,5.9456,3.11,0.98,,Zeta Hya
52943,162.4062,-16.1936,3.11,1.23,,Nu Hya
56561,173.9454,-63.0198,3.11,-0.04,,Lambda Cen
101772,309.3918,-47.2915,3.11,1.0,Persian,Alpha Ind
27628,87.74,-35.7683,3.12,1.15,Wazn,Beta Col
44127,134.8019,48.0418,3.12,0.22,Talitha,Iota UMa
83081,254.655,-55.9901,3.12,1.55,,Zeta Ara
84379,258.758,24.8392,3.12,0.08,Sarin,Delta Her
73334,224.7904,-42.1042,3.13,-0.21,Ke Kwan,Kappa Cen
45860,140.2638,34.3926,3.14,1.55,,Alpha Lyn
46701,142.8055,-57.0344,3.16,1.54,,N Vel
84380,258.7618,36.8092,3.16,1.44,,Pi Her
31685,99.4403,-43.1959,3.17,-0.1,,Nu Pup
46853,143.2143,51.6773,3.17,0.47,,Theta UMa
83895,257.1966,65.7147,3.17,-0.12,Aldhibah,Zeta Dra
92041,281.4141,-26.9908,3.17,-0.11,Namalsadirah,Phi Sgr
23767,76.6287,41.2345,3.18,-0.15,Haedus,Eta Aur
71908,220.6267,-64.9751,3.18,0.26,,Alpha Cir
22449,72.46,6.9613,3.19,0.48,Tabit,π3 Ori
23685,76.3653,-22.371,3.19,1.46,,Epsilon Lep
83000,254.4171,9.375,3.19,1.16,,Kappa Oph
87261,267.4645,-37.0433,3.19,1.19,Fuyue,G Sco
104732,318.2341,30.2269,3.21,0.99,,Zeta Cyg
116727,354.8369,77.6323,3.21,1.03,Errai,Gamma Cep
75141,230.343,-40.6475,3.22,-0.23,,Delta Lup
79882,244.5804,-4.6925,3.23,0.97,Yed Posterior,Epsilon Oph
89962,275.3275,-2.8988,3.23,0.94,,Eta Ser
106032,322.165,70.5607,3.23,-0.2,Alfirk,Beta Cep
32607,102.0477,-61.9414,3.24,0.23,,Alpha Pic
99473,302.8262,-0.8215,3.24,-0.07,,Theta Aql
36377,112.3076,-43.3014,3.25,1.51,,Sigma Pup
68895,211.5929,-26.6824,3.25,1.09,,Pi Hya
73714,226.0176,-25.282,3.25,1.67,Brachium,Sigma Lib
93194,284.7359,32.6896,3.25,-0.05,Sulafat,Gamma Lyr
17678,56.8098,-74.239,3.26,1.59,,Gamma Hyi
3092,9.832,30.861,3.27,1.27,,Delta And
84970,260.5024,-24.9995,3.27,-0.19,Garafsa,Theta Oph
113136,343.6626,-15.8208,3.27,0.07,Skat,Delta Aqr
24305,78.2329,-16.2055,3.29,-0.11,,Mu Lep
50099,153.4342,-70.0379,3.29,-0.07,,Omega Car
75458,231.2324,58.9661,3.29,1.17,Edasich,Iota Dra
21281,68.4991,-55.045,3.3,-0.08,,Alpha Dor
51576,158.0061,-61.6853,3.3,-0.09,,p Car
29655,93.7194,22.5068,3.31,1.6,Propus,Eta Gem
85267,261.3486,-56.3777,3.31,-0.15,,Gamma Ara
5165,16.521,-46.7184,3.32,0.89,,Beta Phe
14354,46.2941,38.8403,3.32,1.53,Gorgonea Tertia,Rho Per
59774,183.8565,57.0326,3.32,0.08,Megrez,Delta UMa
84143,258.0383,-43.2392,3.32,0.44,,Eta Sco
88048,269.7566,-9.7736,3.32,0.99,Sinistra,Nu Oph
93864,286.735,-27.6704,3.32,1.17,,Tau Sgr
19780,63.6062,-62.4739,3.33,0.92,,Alpha Ret
54879,168.56,15.4296,3.33,-0.0,Chertan,Theta Leo
38170,117.3236,-24.8598,3.34,1.22,Azmidi,Xi Pup
8886,28.5989,63.6701,3.35,-0.15,Segin,Epsilon Cas
25281,81.1192,-2.3971,3.35,-0.24,Saif al Jabbar,Eta Ori
32362,101.3224,12.8956,3.35,0.44,Alzirr,Xi Gem
41704,127.5661,60.7182,3.35,0.86,Muscida,Omicron UMa
95501,291.3746,3.1148,3.36,0.32,Almizan,Delta Aql
75264,230.6703,-44.6896,3.37,-0.19,,Epsilon Lup
43109,131.6938,6.4188,3.38,0.69,Ashlesha,Epsilon Hya
66249,203.6733,-0.5958,3.38,0.11,Heze,Zeta Vir
26207,83.7845,9.9342,3.39,-0.16,Meissa,Lambda Ori
50371,154.2707,-61.3323,3.39,1.54,,q Car
63090,193.9009,3.3975,3.39,1.57,Minelauva,Delta Vir
109492,332.7137,58.2013,3.39,1.56,,Zeta Cep
20894,67.1656,15.8709,3.4,0.18,Chamukuy,θ2 Tau
6867,22.0914,-43.3182,3.41,1.54,,Gamma Phe
18724,60.1701,12.4903,3.41,-0.1,,Lambda Tau
67464,207.3762,-41.6877,3.41,-0.23,,Nu Cen
74395,228.0712,-52.0992,3.41,0.92,,Zeta Lup
102422,311.3224,61.8388,3.41,0.91,Kabalfird,Eta Cep
112029,340.3655,10.8314,3.41,-0.09,Homam,Zeta Peg
8796,28.2704,29.5788,3.42,0.49,Mothallah,Alpha Tri
78384,240.0305,-38.3967,3.42,-0.21,,Eta Lup
86974,266.6147,27.7207,3.42,0.75,,Mu Her
102395,311.2396,-66.2032,3.42,0.16,,Beta Pav
45080,137.742,-58.9669,3.43,-0.19,,a Car
50335,154.1726,23.4173,3.43,0.31,Adhafera,Zeta Leo
93805,286.5622,-4.8826,3.43,-0.1,Al Thalimain Prior,Lambda Aql
50372,154.2741,42.9144,3.45,0.03,Tania Borealis,Lambda UMa
3821,12.2762,57.8152,3.46,0.59,Achird,Eta Cas
5364,17.1475,-10.1823,3.46,1.16,Dheneb,Eta Cet
38827,119.1946,-52.9824,3.46,-0.18,,Chi Car
74666,228.8757,33.3148,3.46,0.96,Thiba,Delta Boo
12706,40.8252,3.2358,3.47,0.09,Kaffaljidhma,Gamma Cet
67472,207.4041,-42.4737,3.47,-0.17,,Mu Cen
49583,151.8331,16.7627,3.48,-0.03,Al Jabhah,Eta Leo
81833,250.724,38.9223,3.48,0.92,,Eta Her
8102,26.017,-15.9375,3.49,0.73,,Tau Cet
33856,105.4298,-27.9348,3.49,1.73,Unurgunite,Sigma CMa
55219,169.6197,33.0943,3.49,1.4,Alula Borealis,Nu UMa
73555,225.4865,40.3906,3.49,0.96,Nekkar,Beta Boo
90422,276.7434,-45.9685,3.49,-0.18,,Alpha Tel
112623,342.1387,-51.3169,3.49,0.08,,Epsilon Gru
32759,102.4602,-32.5085,3.5,-0.12,,Kappa CMa
35550,110.0307,21.9823,3.5,0.37,Wasat,Delta Gem
112724,342.4201,66.2004,3.5,1.05,,Iota Cep
98337,299.6893,19.4921,3.51,1.57,,Gamma Sge
112748,342.5008,24.6016,3.51,0.93,Sadalbari,Mu Peg
17378,55.8121,-9.7634,3.52,0.92,Rana,Delta Eri
47508,145.2876,9.8923,3.52,0.52,Subra,Omicron Leo
48774,149.2156,-54.5678,3.52,-0.07,,Phi Vel
92420,282.52,33.3627,3.52,0.0,Sheliak,Beta Lyr
93085,284.4325,-21.1067,3.52,1.15,,ξ2 Sgr
109427,332.5499,6.1979,3.52,0.09,Biham,Theta Peg
20889,67.1542,19.1804,3.53,1.01,Ain,Epsilon Tau
40526,124.1288,9.1855,3.53,1.48,Tarf,Beta Cnc
56343,173.2505,-31.8576,3.54,0.95,,Xi Hya
77516,237.405,-3.4302,3.54,-0.04,,Mu Ser
86263,264.3967,-15.3986,3.54,0.26,,Xi Ser
20042,64.4736,-33.7983,3.55,-0.11,Beemim,υ4 Eri
27288,86.7389,-14.822,3.55,0.1,,Zeta Lep
69996,214.8509,-46.0581,3.55,-0.18,,Iota Lup
89937,275.2641,72.7328,3.55,0.49,Alahakan,Chi Dra
99240,302.1817,-66.1821,3.55,0.75,,Delta Pav
1562,4.857,-8.8239,3.56,1.21,Deneb Kaitos Shemali,Iota Cet
10602,34.1274,-51.5122,3.56,-0.12,,Phi Eri
55282,169.8352,-14.7785,3.56,1.11,Labr,Delta Crt
82545,253.0839,-38.0175,3.56,-0.21,Pipirima,μ2 Sco
37740,116.1119,24.398,3.57,0.93,,Kappa Gem
44471,135.9064,47.1565,3.57,0.01,Alkaphrah,Kappa UMa
71053,217.9575,30.3714,3.57,1.3,,Rho Boo
75177,230.4515,-36.2614,3.57,1.53,,φ1 Lup
35350,109.5232,16.5404,3.58,0.11,,Lambda Gem
100064,304.5136,-12.5449,3.58,0.88,Algedi,α2 Cap
7607,24.4982,48.6282,3.59,1.27,Nembus,
24674,79.4016,-6.8444,3.59,-0.12,,Tau Ori
27072,86.1158,-22.4484,3.59,0.48,Kursi al Jabbar,Gamma Lep
57757,177.6738,1.7647,3.59,0.52,Zavijava,Beta Vir
60260,185.34,-60.4011,3.59,1.39,Ginan,Epsilon Cru
6537,21.0059,-8.1833,3.6,1.06,Al Naymat,Theta Cet
33018,103.1972,33.9613,3.6,0.1,,Theta Gem
42536,130.0733,-52.9219,3.6,-0.17,,Omicron Vel
46651,142.675,-40.4668,3.6,0.37,,Psi Vel
76470,234.256,-28.1351,3.6,1.36,,Upsilon Lib
85727,262.7746,-60.6838,3.6,-0.1,,Delta Ara
13209,42.496,27.2605,3.61,-0.1,Bharani,c Ari
15900,51.2033,9.0289,3.61,0.89,,Omicron Tau
49841,152.647,-12.3541,3.61,1.01,,Lambda Hya
63613,195.5678,-71.5489,3.61,1.19,,Delta Mus
86929,266.4333,-64.7239,3.61,1.16,,Eta Pav
7097,22.8709,15.3458,3.62,0.97,Alpherg,Eta Psc
17847,57.2906,24.0534,3.62,-0.07,Atlas,
37819,116.3137,-37.9686,3.62,1.71,,c Pup
82729,253.6459,-42.3613,3.62,1.39,Grafias,ζ2 Sco
113726,345.4803,42.326,3.62,-0.1,,Omicron And
57363,176.4017,-66.7288,3.63,0.16,,Lambda Mus
101769,309.3873,14.5951,3.64,0.42,Rotanev,Beta Del
20205,64.9483,15.6276,3.65,0.98,Prima Hyadum,Gamma Tau
46733,142.8821,63.0619,3.65,0.36,,h UMa
77233,236.5469,15.4218,3.65,0.07,Nasak Shamiya,Beta Ser
88714,271.6578,-50.0915,3.65,-0.1,,Theta Ara
110960,337.208,-0.02,3.65,0.41,Sadaltager,ζ1 Aqr
75695,231.9572,29.1057,3.66,0.32,Nusakan,Beta CrB
76600,234.664,-29.7778,3.66,-0.18,,Tau Lib
68756,211.0973,64.3759,3.67,-0.05,Thuban,Alpha Dra
103227,313.7025,-58.4542,3.67,1.25,,Beta Ind
22549,72.8015,5.6051,3.68,-0.16,,π4 Ori
42828,130.8981,-33.1864,3.68,-0.18,,Alpha Pyx
97365,296.8469,18.5343,3.68,1.31,,Delta Sge
114341,347.3617,-21.1724,3.68,1.2,,c2 Aqr
2920,9.2429,53.8969,3.69,-0.2,Fulu,Zeta Cas
9007,28.9895,-51.6089,3.69,0.84,,Chi Eri
23453,75.6195,41.0758,3.69,1.15,Saclateni,Zeta Aur
47854,146.3117,-62.5079,3.69,1.01,,l Car
57399,176.5126,47.7794,3.69,1.18,Taiyangshou,Chi UMa
106985,325.0227,-16.6623,3.69,0.32,Nashira,Gamma Cap
15474,49.8792,-21.7579,3.7,1.61,Angetenar,τ4 Eri
87933,269.4412,29.2479,3.7,0.94,,Xi Her
114971,349.2914,3.2823,3.7,0.92,,Gamma Psc
22797,73.5629,2.4407,3.71,-0.18,,π5 Ori
28103,89.1012,-14.1677,3.71,0.34,,Eta Lep
38414,118.0543,-40.5758,3.71,1.01,,a Pup
77622,237.704,4.4777,3.71,0.15,,Epsilon Ser
88771,271.8374,9.5638,3.71,0.16,,
98036,298.8283,6.4068,3.71,0.85,Alshain,Beta Aql
16537,53.2327,-9.4583,3.72,0.88,Ran,Epsilon Eri
17499,56.2189,24.1133,3.72,-0.1,Electra,
28358,89.8818,54.2847,3.72,1.01,,Delta Aur
104060,316.2328,43.9279,3.72,1.61,,Xi Cyg
16083,51.7923,9.7327,3.73,-0.08,,Xi Tau
72220,221.5622,1.8929,3.73,-0.01,,
87585,268.3822,56.8726,3.73,1.18,Grumium,Xi Dra
107089,325.3694,-77.39,3.73,1.01,,Nu Oct
112961,343.1536,-7.5796,3.73,1.63,Hydor,Lambda Aqr
8645,27.8651,-10.335,3.74,1.14,Baten Kaitos,Zeta Cet
80170,245.4801,19.1531,3.74,0.3,,Gamma Her
104887,318.6979,38.0453,3.74,0.39,,Tau Cyg
44511,136.0387,-47.0977,3.75,1.17,,c Vel
87108,266.9732,2.7073,3.75,0.04,Muliphen,Gamma Oph
26069,83.4063,-62.4898,3.76,0.64,,Beta Dor
27654,87.8304,-20.8791,3.76,0.98,Arsh al Jauzah,Delta Lep
30867,97.2045,-7.0331,3.76,-0.11,,Beta Mon
93683,286.1708,-21.7415,3.76,1.01,Manubrij,Omicron Sgr
95853,292.4265,51.7298,3.76,0.15,,Iota Cyg
111169,337.8229,50.2825,3.76,0.03,,Alpha Lac
13268,42.6742,55.8955,3.77,1.69,Miram,Eta Per
17529,56.2985,42.5785,3.77,0.42,,Nu Per
20455,65.7337,17.5425,3.77,0.98,Secunda Hyadum,Delta Tau
26549,84.6865,-2.6001,3.77,-0.19,,Sigma Ori
41312,126.4341,-66.1369,3.77,1.13,,Beta Vol
42570,130.1565,-46.6487,3.77,0.67,,b Vel
82363,252.4465,-59.0414,3.77,1.56,,Eta Ara
101958,309.9095,15.9121,3.77,-0.06,Sualocin,Alpha Del
105881,321.6668,-22.4113,3.77,1.0,Yen,Zeta Cap
109176,331.7528,25.3451,3.77,0.43,,Iota Peg
34481,107.1869,-70.4989,3.78,1.01,,γ2 Vol
36046,111.4317,27.7981,3.78,1.02,Propus,Iota Gem
48319,147.7473,59.0387,3.78,0.29,,Upsilon UMa
53253,163.3736,-58.8532,3.78,0.94,,u Car
71795,220.2873,13.7283,3.78,0.04,,Zeta Boo
102618,311.919,-9.4958,3.78,0.0,Albali,Epsilon Aqr
14668,47.374,44.8575,3.79,0.98,Misam,Kappa Per
53229,163.3279,34.2149,3.79,1.04,Praecipua,
55203,169.5468,31.5308,3.79,0.61,Alula Australis,Xi UMa
14879,48.0189,-28.9876,3.8,0.54,Dalim,Alpha For
37229,114.7078,-26.8038,3.8,-0.16,Markab,κ1 Pup
76276,233.7006,10.5389,3.8,0.27,Nasak Yamani,Delta Ser
94779,289.2757,53.3685,3.8,0.95,Fawaris,Kappa Cyg
99675,303.4079,46.7413,3.8,1.27,,ο1 Cyg
21393,68.8877,-30.5623,3.81,0.96,Theemin,υ2 Eri
51232,156.9697,-58.7394,3.81,0.32,,s Car
76952,235.6857,26.2956,3.81,0.02,,Gamma CrB
116584,354.391,46.4582,3.81,0.98,,Lambda And
9487,30.5118,2.7638,3.82,0.02,Alrescha,Alpha Psc
45688,139.711,36.8026,3.82,0.07,,
56211,172.8509,69.3311,3.82,1.61,Giausar,Lambda Dra
80883,247.7284,1.9839,3.82,0.02,Marfik,Lambda Oph
86414,264.8662,46.0063,3.82,-0.18,,Iota Her
51069,156.5226,-16.8363,3.83,1.46,,Mu Hya
68245,209.5678,-42.1008,3.83,-0.22,,Phi Cen
